number,eps_temp,eps_exp,eps_opls,eps_gaff,st_temp,st_exp,st_opls,st_gaff,solvent,MW,den_temp,den_exp,den_opls,den_gaff,vap_temp,vap_exp,vap_opls,vap_gaff,cmp_temp,cmp_exp,cmp_opls,cmp_gaff,therex_temp,therex_exp,therex_opls,therex_gaff,cp_temp,cp_exp,cp_opls,cp_gaff,cv_temp,cv_exp,cv_opls,cv_gaff
37,298.15,4.55,4.55,5.2,298.15,34.5,33.9,20.1,1*2-dibromopropane,201.888,298.15,1924.95,2096.8,1701.6,298.15,42.2,50.99,40.24,298.15,,0.52,0.96,298.15,0.8,1.04,1.11,298.15,,147,136.9,298.15,172.8,147,136.9
38,298.15,10.18,6.7,8.3,298.15,33.93,23.6,25.1,1*3-dichloropropane,112.985,298.15,1178.5,1169.2,1164.5,298.15,40.05,40.08,41.97,298.15,0.76,0.85,0.83,298.15,1,1.09,1.12,298.15,159.43,137,136.2,298.15,159.45,137.1,136.2
39,298.15,14.7,14.7,,298.15,13,13,14.7,(2R)-2-methyloxirane,58.0789,298.15,830,774.7,803.1,298.15,27.9,26.93,27.87,298.15,,1.7,1.47,298.15,1.93,,2,298.15,,111.6,103,298.15,,111.7,103
40,298.15,20.49,15.4,12,298.15,22.72,17.2,19.2,propan-2-one,58.0789,298.15,784.9,800.3,785.6,298.15,30.99,30.76,34.47,298.15,1.32,1.31,1.14,298.15,1.45,1.57,1.56,298.15,124.88,117.3,111.7,298.15,124.9,117.3,111.7
41,298.15,6.86,4.6,5,298.15,24.73,23.2,26.1,methyl^acetate,74.0783,298.15,928.3,945.6,967.6,298.15,32.29,36.34,41.2,298.15,1.14,0.83,0.69,298.15,1.42,1.34,1.16,298.15,143.88,135.9,133.3,298.15,143.9,135.9,133.4
42,298.15,6.98,3,3.3,298.15,32.61,26,37.6,1*3-dioxolane,74.0783,298.15,1064.4,1046.3,1116.5,298.15,35.6,36.22,43.18,298.15,0.76,0.77,0.47,298.15,1.18,1.45,0.95,293.15,,124.2,123.7,293.15,120.32,124.3,123.7
43,298.15,8.19,2.7,8.3,298.15,26.62,19.1,15.8,2-iodopropane,169.992,298.15,1737.25,1836.4,1599.4,298.15,34.2,33.85,33.71,298.15,,1.01,1.26,298.15,1.1,1.13,0.91,298.15,,125.7,123.5,298.15,139.72,125.7,123.6
44,298.15,8.05,7.8,7.2,298.15,25.26,19.4,14.5,1-bromopropane,122.991,298.15,1345.38,1408.6,1229.9,298.15,32.2,34.83,31.41,298.15,1.13,0.99,1.47,298.15,1.3,1.28,1.56,298.15,133.44,122.8,116.5,298.15,133.47,122.8,116.5
45,298.15,14.9,14.9,24.5,298.15,35.74,31.5,36.1,N*N-dimethylformamide,73.0935,298.15,943.3,922.2,984.2,298.15,47.57,46.08,52.57,298.15,0.64,0.58,0.48,298.15,1,1.21,0.71,298.15,148.28,148.8,142.9,298.15,148.3,148.9,142.9
46,320,14.2,14.2,10.4,320,31.26,33,31.1,N-methylacetamide,73.0935,320,920.52,952,968.4,320,58.32,55.12,59.68,320,,0.5,0.55,320,0.85,0.9,1.07,,,,,,,,
47,298.15,23.73,12.2,14.5,298.15,29.85,24,34.9,1-nitropropane,89.0929,298.15,995.4,989.7,1042.2,298.15,43.39,44.97,59.32,298.15,0.8,0.74,0.44,298.15,1.01,1.34,0.93,298.15,175.28,159.7,161.7,298.15,175.3,159.7,161.7
48,298.15,25.65,15,15.6,298.15,29.29,24.9,33.6,2-nitropropane,89.0929,298.15,983.3,995.6,1034.2,298.15,41.34,43.74,56.44,298.15,0.89,0.73,0.47,298.15,1.04,1.07,0.91,298.15,170.18,163.6,163.6,298.15,170.2,163.6,163.6
49,298.15,2.65,4.4,3.9,298.15,18.75,17.1,20.3,dimethoxymethane,76.0941,298.15,853.56,874.6,905,298.15,29.54,32.23,34.47,298.15,,1.18,1.02,298.15,1.5,1.57,1.5,298.15,,145.6,144.1,298.15,161.5,145.7,144.1
50,320,41.69,25.6,24.5,298.15,63,51.8,70.5,propane-1*2*3-triol,92.0935,293.15,1261.3,1259.7,1310.2,293.15,90.21,95.44,99.6,293.15,0.24,0.22,0.15,293.15,0.46,0.59,0.2,293.15,216.69,174.1,171.2,293.15,216.7,174.1,171.3
51,298.15,5.11,5.7,5.9,298.15,21.75,12.6,17.2,propan-1-amine,59.1099,298.15,711.47,726.3,757.3,298.15,30.98,33.08,38.36,298.15,1.21,1.55,1,298.15,1.4,2.03,1.5,298.15,162.77,138.9,138.4,298.15,162.79,139,138.5
52,298.15,5.47,5.47,5.5,298.15,17.36,13,17.9,propan-2-amine,59.1099,298.15,683.08,731.6,768.3,298.15,28.56,32.7,40.67,298.15,,1.5,0.95,298.15,1.6,1.82,1.4,298.15,,141.8,142.5,298.15,163.81,141.9,142.5
53,243.65,1.85,1,1.1,243.65,16.42,12.6,13,2-methylpropane,58.1218,243.65,613.53,643.5,631.3,243.65,22.35,24.61,25.03,243.65,,1.66,1.45,243.65,1.68,2.12,1.8,,,,,,,,
54,298.15,5.72,7.7,5.5,298.15,24.57,18.7,14.5,ethylsulfanylethane,90.1868,298.15,831.2,836.9,808.1,298.15,35.77,39.05,34.55,298.15,,1.06,1.34,298.15,1.45,1.39,1.6,298.15,,167.8,156.3,298.15,171.4,167.8,156.3
55,298.15,5.01,4.2,6,298.15,25.22,19.9,17.6,butane-1-thiol,90.1868,298.15,837,860.3,850.4,298.15,37.14,38.81,38.01,298.15,,0.95,1.1,298.15,1.2,1.07,1.61,298.15,,170.4,161.2,298.15,171.2,170.5,161.2
56,298.15,17.33,12.8,9.8,298.15,24.93,18.6,19.5,butan-1-ol,74.1212,298.15,805.7,805.3,815,298.15,52.35,51.39,60.08,298.15,0.94,0.88,0.77,298.15,0.93,1.18,0.91,298.15,176.99,174,168.1,298.15,177,174,168.1
57,298.15,9.3100576,7.06,5.17445,320,15.8,15.8,17.3,2-methylpropan-2-ol,74.1212,320,757.94,800.7,803.3,320,44.01,47.2,57.28,320,,1.08,1.03,320,1.24,,1.52,,,,,,,,
58,293.15,32.86,18,,298.15,45.47,45.6,48.4,butane-1*4-diol,90.1206,298.15,1012.6,1019,1046.7,298.15,76.6,81.43,87.23,298.15,0.44,0.34,0.32,298.15,0.65,0.6,0.82,298.15,202.19,195.4,185.1,298.15,202.2,195.5,185.1
59,288.15,32.81,16.3,,288.15,56.61,41.7,65.6,(2-hydroxyethoxy)ethan-2-ol,106.12,288.15,1119.7,1107.7,1202.3,288.15,83.13,78.15,103.66,288.15,,0.35,0.16,288.15,0.63,0.8,0.19,288.15,,210.7,197.6,288.15,256.39,210.7,197.6
60,298.15,3.58,4.6,4.5,298.15,19.85,12.6,15.8,N-ethylethanamine,73.1364,298.15,701.9,717,731.4,298.15,31.32,33.34,36.96,298.15,1.51,1.62,1.18,298.15,1.56,2.05,1.78,298.15,176.67,164.1,161.7,298.15,176.7,164.2,161.7
61,298.15,4.62,4.7,5.2,298.15,23.44,14.5,17.6,butan-1-amine,73.1364,298.15,736.6,747.2,773.8,298.15,35.74,38.53,45.83,298.15,1.14,1.28,0.9,298.15,1.35,1.69,1.25,298.15,187.97,172.8,170.5,298.15,188,172.8,170.5
62,298.15,4.01,3.8,3.4,298.15,16.87,15.3,17.1,2-methylpropan-2-amine,73.1364,298.15,690.07,761.2,776.6,298.15,28.8,36.68,45.68,298.15,,1.25,0.93,298.15,1.4,1.73,1.56,298.15,,181.9,180,298.15,192.1,182,180.1
63,293.15,22.9486,14.2,5.35,320,50.6,45.7,49.4,2-(2-hydroxyethylamino)ethanol,105.135,320,1079.23,1080.4,1157,320,83.64,88.94,110.71,320,,0.37,0.23,320,0.61,0.76,0.63,,,,,,,,
64,298.15,8.8,8.8,8.6,298.15,30.33,41.7,41.1,pyrimidine,80.0878,298.15,1016.4,1094.5,1116,298.15,49.81,49.33,50.47,298.15,,0.44,0.41,298.15,0.89,1.04,1.14,298.15,,124.6,120.8,298.15,133.7,124.6,120.9
65,298.15,2.94,1.5,1.5,298.15,22.65,19.6,18.7,furan,68.0738,298.15,931.3,958.2,966,298.15,27.46,29.81,30.33,298.15,,1.04,1.01,298.15,0.73,1.56,1.51,298.15,,99.3,97.3,298.15,114.8,99.3,97.3
66,298.15,2.73,2.6,,298.15,30.68,29.4,19.5,thiophene,84.1394,298.15,1059.01,1087.6,1050,298.15,34.65,39.15,32.72,298.15,,0.62,0.96,298.15,1.1,1.01,1.4,298.15,,110.3,104.4,298.15,123.98,110.3,104.4
67,298.15,7.92,4,4.2,298.15,36.95,28.9,29.9,1H-pyrrole,67.089,298.15,965.3,985.6,1015.1,298.15,45.15,44.14,52.51,298.15,0.65,0.6,0.51,298.15,0.87,1.05,0.81,298.15,128.19,116.2,113.8,298.15,128.2,116.2,113.9
